,name,segment,change_time,falling_velocity_combine,bouncing_velocity_combine,change_velocity_combine,acceleration_combine,energy_change_combine,falling_velocity_x,bouncing_velocity_x,change_velocity_x,acceleration_x,energy_change_x,falling_velocity_y,bouncing_velocity_y,change_velocity_y,acceleration_y,energy_change_y,falling_velocity_z,bouncing_velocity_z,change_velocity_z,acceleration_z,energy_change_z,airbag_condition,ID_sort,direction,height
27,P10_112,T12,36,-1.142800936,0.957620028,2.100420964805724,0.058345026800158996,10.89,-0.030295,-0.295818,-0.265523,-0.007375639,-2.42,-0.060239,-0.470166,-0.409927,-0.011386861,-6.09,-1.14081,0.780046,1.9208560000000001,0.053357111,19.4,without,P10,front,18 cm
28,P10_113,T8,17,-2.198727054,1.3926299141035279,3.591356968365152,0.21125629225677364,81.06,-0.008078,0.342874,0.350952,0.020644235294117647,-3.29,0.065613,-0.531002,-0.596615,-0.035095,-7.77,-2.197733,1.240924,3.438657,0.2022739411764706,92.12,without,P10,front,25 cm
29,P10_113,Right Upper Arm,16,-2.39350586,1.1346267670811403,3.528132627100288,0.220508289,124.36,0.008864,0.271337,0.262473,0.016404563,-2.06,-0.009397,-0.243548,-0.234151,-0.014634438,-1.66,-2.393471,1.074448,3.467919,0.216744938,128.08,without,P10,front,25 cm
30,P10_113,Left Upper Arm,16,-2.320538885,1.0220690033657218,3.3426078882271666,0.2089129930141979,121.53,0.008307,-0.550376,-0.558683,-0.034917687,-8.48,0.028984,-0.017392,-0.046376,-0.0028985,0.02,-2.320343,0.861051,3.181394,0.198837125,129.99,without,P10,front,25 cm
31,P10_113,Right Forearm,146,-2.357368399,1.9922617093205903,4.349630107916999,0.029791987040527393,44.47,0.04331,0.034551,-0.008759,-6.00E-05,0.02,-0.031501,1.521518,1.553019,0.010637116438356164,-64.79,-2.35676,1.28565,3.64241,0.024948013698630138,109.24,without,P10,front,25 cm
32,P10_113,Left Forearm,16,-2.439907352,0.640081426,3.079988778076233,0.19249929862976456,155.22,-0.230846,0.63244,0.863286,0.053955375,-9.71,0.126922,-0.096859,-0.223781,-0.013986313,0.19,-2.425644,0.018499,2.444143,0.152758938,164.74,without,P10,front,25 cm
33,P10_113,Pelvis,15,-1.848193178,0.8667847098628356,2.7149778880490336,0.18099852586993556,74.61,0.038013,0.007432,-0.030581,-0.002038733,0.04,0.112637,0.196272,0.083635,0.005575667,-0.72,-1.844366,0.844238,2.6886039999999998,0.17924026666666665,75.29,without,P10,front,25 cm
34,P10_113,Right Upper Leg,27,-1.90835969,0.8605060610536104,2.768865750607705,0.10255058335584091,81.24,-0.066393,0.523055,0.5894480000000001,0.021831407,-7.54,0.060171,-0.581993,-0.642164,-0.023783852,-9.38,-1.906255,0.358006,2.264261,0.083861519,98.16,without,P10,front,25 cm
35,P10_113,Left Upper Leg,32,-1.899762033,1.0599451808154987,2.9597072134790636,0.09249085,69.6,0.11559,-1.010477,-1.126067,-0.035189594,-28.22,0.022649,-0.319714,-0.342363,-0.010698844,-2.85,-1.896107,0.014247,1.9103539999999999,0.059698562499999996,100.66,without,P10,front,25 cm
36,P10_113,Neck,25,-2.621258578,1.3034017504902315,3.9246603280651335,0.15698641312260533,144.82,0.020166,-0.040099,-0.060265,-0.0024106,-0.03,0.055423,-0.716504,-0.771927,-0.03087708,-14.29,-2.620595,1.088058,3.708653,0.14834612,159.14,without,P10,front,25 cm
37,P10_113,Right Shoulder,17,-2.208894474,1.814445884436899,4.023340358436279,0.23666707990801641,44.44,0.034489,0.088047,0.053558,0.003150471,-0.18,-0.01282,-0.712315,-0.699495,-0.041146765,-14.2,-2.208588,1.666454,3.8750420000000005,0.22794364705882356,58.82,without,P10,front,25 cm
38,P10_113,Left Shoulder,18,-2.106667819,1.292851397124975,3.3995192158536423,0.1888621786585357,77.46,-0.032325,-0.03835,-0.006025,-0.000334722,-0.01,0.001841,-0.115038,-0.116879,-0.006493278,-0.37,-2.106419,1.287152,3.3935709999999997,0.1885317222222222,77.85,without,P10,front,25 cm
39,P10_113,Right Shoulder,17,-2.208894474,1.814445884436899,4.023340358436279,0.23666707990801641,44.44,0.034489,0.088047,0.053558,0.003150471,-0.18,-0.01282,-0.712315,-0.699495,-0.041146765,-14.2,-2.208588,1.666454,3.8750420000000005,0.22794364705882356,58.82,without,P10,front,25 cm
40,P10_113,Left Shoulder,18,-2.106667819,1.292851397124975,3.3995192158536423,0.1888621786585357,77.46,-0.032325,-0.03835,-0.006025,-0.000334722,-0.01,0.001841,-0.115038,-0.116879,-0.006493278,-0.37,-2.106419,1.287152,3.3935709999999997,0.1885317222222222,77.85,without,P10,front,25 cm
41,P10_113,T12,25,-2.601822282,1.0138689035693915,3.615691185792949,0.14462764743171796,160.76,0.044097,-0.05824,-0.102337,-0.00409348,-0.04,0.054815,-0.7317,-0.786515,-0.0314606,-14.91,-2.600871,0.699395,3.300266,0.13201064,175.71,without,P10,front,25 cm
42,P10_121,T8,27,-1.191336956,0.6888416211133006,1.880178577420793,0.069636244,26.45,0.029738,0.325332,0.295594,0.010947925925925927,-2.94,-0.038478,-0.000623,0.037855,0.001402037,0.04,-1.190344,0.607175,1.797519,0.066574778,29.35,without,P10,right,11 cm
43,P10_121,Right Upper Arm,86,-1.160805096,0.2227380651033855,1.3835431615623044,0.016087711180957028,36.34,0.123317,0.122331,-0.000986,-1.15E-05,0.01,-0.33804,-0.110918,0.227122,0.002640953,2.86,-1.103626,0.149481,1.253107,0.014571011627906976,33.48,without,P10,right,11 cm
44,P10_121,Left Upper Arm,13,-1.113420272,0.7296774884714479,1.8430977605129624,0.1417767508086894,19.8,-0.006857,-0.542743,-0.535886,-0.041222,-8.25,0.19046,-0.487538,-0.677998,-0.052153692,-5.64,-1.096988,0.012883,1.109871,0.085374692,33.69,without,P10,right,11 cm
45,P10_121,Right Forearm,18,-1.063418708,0.8239931226242121,1.887411830944223,0.10485621283023461,12.65,-0.123687,0.240884,0.364571,0.020253944444444442,-1.2,-0.27095,0.53187,0.80282,0.044601111,-5.87,-1.020856,0.581424,1.60228,0.089015556,19.71,without,P10,right,11 cm
46,P10_121,Left Forearm,35,-0.944574021,0.5208035462964898,1.4653775677776018,0.041867931,17.39,-0.071051,0.096263,0.16731400000000002,0.0047804,-0.12,0.218684,0.393645,0.17496100000000003,0.004998886,-3,-0.91616,0.327129,1.2432889999999999,0.035522542857142854,20.51,without,P10,right,11 cm
47,P10_121,Pelvis,13,-1.197045449,0.7618096159054439,1.9588550647322627,0.15068115882555866,23.87,0.059798,0.564534,0.504736,0.038825846,-8.82,-0.002643,-0.511521,-0.508878,-0.039144462,-7.33,-1.195548,0.001233,1.196781,0.092060077,40.02,without,P10,right,11 cm
48,P10_121,Right Upper Leg,49,-0.733579137,0.11591928603127263,0.8494984231569137,0.017336702513406403,14.69,-0.243911,0.026687,0.270598,0.005522408,1.65,0.384476,-0.027301,-0.411777,-0.008403612,4.12,-0.575173,0.109452,0.684625,0.013971938775510204,8.93,without,P10,right,11 cm
49,P10_121,Left Upper Leg,27,-1.258646702,0.5823396694284187,1.8409863712812462,0.06818468,34.86,-0.050919,-0.297215,-0.246296,-0.009122074,-2.4,0.02153,-0.066389,-0.087919,-0.003256259,-0.11,-1.257432,0.496362,1.753794,0.064955333,37.37,without,P10,right,11 cm
50,P10_121,Neck,19,-1.444845766,1.1706827945079743,2.615528560895515,0.1376593979418692,20.08,-0.074758,0.586406,0.661164,0.034798105263157894,-9.47,0.103272,-0.745964,-0.849236,-0.044696632,-15.28,-1.43921,0.685685,2.124895,0.11183657894736843,44.83,without,P10,right,11 cm
51,P10_121,Right Shoulder,32,-0.842533524,0.33824024147342374,1.1807737655844825,0.03689918,16.67,-0.031847,-0.137822,-0.105975,-0.003311719,-0.5,-0.077801,-0.041758,0.036043,0.001126344,0.12,-0.838329,0.306052,1.144381,0.035761906,17.06,without,P10,right,11 cm
52,P10_121,Left Shoulder,16,-1.293452668,0.7944490167971762,2.0879016849478123,0.13049385530923827,29.17,0.060525,-0.311949,-0.372474,-0.023279625,-2.62,-0.071336,-0.29984,-0.228504,-0.0142815,-2.37,-1.290065,0.666283,1.956348,0.12227175,34.17,without,P10,right,11 cm
53,P10_121,Right Shoulder,32,-0.842533524,0.33824024147342374,1.1807737655844825,0.03689918,16.67,-0.031847,-0.137822,-0.105975,-0.003311719,-0.5,-0.077801,-0.041758,0.036043,0.001126344,0.12,-0.838329,0.306052,1.144381,0.035761906,17.06,without,P10,right,11 cm
54,P10_121,Left Shoulder,16,-1.293452668,0.7944490167971762,2.0879016849478123,0.13049385530923827,29.17,0.060525,-0.311949,-0.372474,-0.023279625,-2.62,-0.071336,-0.29984,-0.228504,-0.0142815,-2.37,-1.290065,0.666283,1.956348,0.12227175,34.17,without,P10,right,11 cm
55,P10_121,T12,29,-1.350004832,0.7823207790906489,2.1323256110545943,0.073528469,33.89,0.018166,-0.50543,-0.523596,-0.018055034,-7.14,0.025749,0.169951,0.144202,0.004972483,-0.79,-1.349637,0.572436,1.922073,0.066278379,41.83,without,P10,right,11 cm
56,P10_122,T8,27,-1.611666971,1.2544427441645156,2.8661097153397024,0.10615221167924824,28.67,-0.031466,0.679623,0.711089,0.02633663,-12.91,-0.062814,-0.035667,0.027146999999999998,0.001005444,0.07,-1.610135,1.053787,2.6639220000000003,0.098663778,41.5,without,P10,right,18 cm
57,P10_122,Right Upper Arm,49,-1.381073862,0.7615194150361501,2.142593276929496,0.043726393406724406,37.17,0.177416,0.43567,0.258254,0.00527049,-4.43,-0.35437,-0.528039,-0.173669,-0.003544265,-4.29,-1.322993,0.333584,1.656577,0.033807694,45.89,without,P10,right,18 cm
